AuthorId,PaperIds
55,1598529 949475 507841 538215 2145125 2253161 1087938 1113127 144775 599636 337774 1963658 2139275 1315957 869430 1705250 2239313 580095 1917226 749124 1258087 1389430 1536069 400429 609556 847068 2149929 145200 153324 380270 732607 933473 1169763 1208855 1634096 2235159 341916 2242701 803603 151248 375494 478547 520682 885156 1426341 1791611 360533 368324 674836 855331 1006063 1717868 293806 640178 1263351 166298 1200417 283152 285210 501918 1068666 1420910 2172928 862499 1613009 374924 1296398 1561133 2047193 1743955 391076 434255 479932 683325 824805 1696592 2144025 2189241 1173588 1604996 462613 836602 1267968 1572902 1639193 627473 649131 652442 852486 1958000 82789 2078331 360278 427328 569149 590824 778747 787670 842748 847721 1134037 1309499 1404308 1503337 1567825 429669 766130 1309753 1905878 2001305 1588620 567439 849805 1988335 2170187 857434 185529 1844943 24074 25103 36459 40294 42966 55193 68389 69178 75169 75356 82669 109868 122970 128962 129165 138408 164850 167677 178422 179163 188583 191340 217562 222469 224005 243218 275203 282173 294906 330142 341809 348351 367455 375645 389256 393613 396571 400432 402085 413987 415449 415677 419865 424703 433440 441364 529078 530550 548812 561429 563378 569738 596639 600343 602590 605718 607208 618099 636227 645843 662811 666181 701621 707333 716659 739353 742557 761011 767668 768943 778260 782195 791391 809176 836220 836932 837051 838147 839470 844326 860343 873533 878611 878853 914441 916062 947880 951610 991821 998325 1002385 1003588 1017616 1028676 1030869 1038114 1040990 1065523 1111248 1114808 1127766 1129545 1130940 1131277 1147447 1149308 1162408 1175552 1182092 1221789 1224097 1226103 1232116 1234065 1235117 1236357 1246558 1246911 1253687 1254356 1265959 1279252 1291570 1292671 1306853 1311582 1314361 1315501 1318932 1330500 1333822 1334503 1334565 1341262 1347683 1355338 1358761 1358815 1389913 1390814 1394715 1401976 1402396 1406810 1412697 1421288 1432571 1441833 1453295 1470552 1473948 1475480 1480374 1484358 1487068 1495079 1503094 1505207 1513936 1514435 1516256 1521193 1575412 1596644 1598603 1600372 1619343 1627327 1629211 1645597 1647435 1671418 1674347 1686687 1692285 1704151 1704638 1709669 1715897 1728999 1740617 1767867 1779715 1796849 1805568 1807352 1813933 1842680 1842828 1845348 1846507 1868160 1892017 1914211 1923712 1935912 1964990 1978555 1996769 2020050 2020967 2050391 2052277 2060463 2061699 2067435 2069862 2088058 2097673 2107137 2116002 2130152 2133149 2135162 2152937 2160386 2169279 2172944 2188615 2188967 2219269 2227977 2233795 2239080 545233 1369596 1230662 898876 1183554 443903 500411 717808 1157610 1457884 2033860 19294 372994 1909176 222631 228600 248390 434161 520007 1032043 1482854 1598298 1638417 1748110 161497 1762246 1200622 52775 25304 85184 401485 417586 542459 805860 918326 1336245 1564558 1782482 1973900 2140444 2221713 1409438 1819740 1000445 1081944 1321344 1792050 464497 440944 605597 1079484 1088098 1618919 1871885 1961041 1976657 2010142 2043565 2069581 2086146 136767 178136 209987 295041 311565 362297 423069 493623 566388 629576 633416 640883 655318 697076 699144 747730 757830 801400 861633 1275261 1283236 1330055 1368392 1471568 1477509 1561911 1562350 1754410 1768979 2031585 2054919 2126038 2148216 1231847 1057692 2507 178497 1268197 1348168 1507925 1953648 157653 269210 577846 600193 1247571 1609130 1659666 1669282 1809054 1912963 1993390 2209422 889545 327786 372836 733638 1079496 1224720 20444 47028 50011 68780 102768 110515 138526 156007 197854 250051 251879 258012 267444 292208 300323 313273 317855 322106 341776 366499 372043 391835 441057 443598 446774 452096 487867 493921 494493 511272 515706 518886 529900 533875 558232 583593 616823 649955 651888 657724 685489 686632 733374 744480 753581 783611 787171 787757 800859 801725 810770 823685 919007 939887 944768 1012283 1051041 1051834 1058628 1095626 1117699 1120846 1131748 1165889 1204075 1213444 1272277 1281589 1303769 1324071 1328475 1340284 1384633 1425243 1481605 1490929 1501821 1537119 1559958 1587177 1605108 1611534 1617887 1639061 1689507 1693618 1705023 1709794 1737538 1822770 1845523 1874507 1883848 1971149 1998820 2001206 2006004 2014129 2025947 2071330 2089307 2092511 2100017 2101279 2139295 2160850 2161270 2185666 2203516 2228319 2238930 2243047 2248734 2254072 15471 299391 312517 369796 397455 720336 794747 810900 819589 824229 869813 883792 973193 1058984 1299922 1338645 1360578 1665586 1690254 1874629 2228219 95899 108616 812510 1166498 1493998 1618867 1930652 2188174 1124696 2223355 571156 981085 1614166 2232203 77268 139335 160532 169774 241121 264821 327692 411010 418934 427091 433613 449667 468963 491228 589720 590988 601175 617344 671895 690310 745317 762178 816840 821861 847749 860367 867779 913529 965304 1034482 1039736 1044866 1106983 1153819 1170435 1212786 1218501 1231449 1258466 1268918 1287246 1290673 1294041 1318181 1350211 1373323 1374577 1376095 1392908 1412366 1417252 1464112 1488589 1545364 1637203 1647084 1691264 1886009 1974662 1988643 2169998 2182966 2187821 2213984
426,1309402 703799 885676 1397733 1474160 1715768 1743931 92584 1525094 1619181 733468 608753 1220376 581263 1020664 1200538 2131795 1506113 1522781 1755057 841427 2114604 1591324 762357 873 174625 1513874 1896437 37257 212235 284639 643226 1620205 1738852 1886966 1425521
1861,1059590 1818633 1048827 59550 528639 922192 282043 124595
10212,199989 290814 509790 551557 681072 694244 711071 719916 824163 1443210 1753895 1907454 792369 24013 131299 213826 49767 173546 1763581 1274721 1409670 1723109 2017320 1576383 1888199 195044 414184 736670 1279152 275419 1155164 2148031 1114250 656535 1495359 1830188 2108310
10275,2029275 871240 368138 995222 300441 876311 1979860 358576 2161376 2192149 389312
11496,1743639 1872494 248838 511060 1492999 973637 1272569 1885728 1202424 395701 1104541 1762778 310992 220745 382531
18188,137079 139332 157235 197565 241280 517152 552709 573569 580096 710443 735641 763814 804483 837759 888761 909867 913351 925232 932834 986581 1107957 1161740 1221739 1370016 1449121 1545848 1625524 1678146 1792343 1835169 1908236 1932598 1940154 1957616 2045142 2085225 2143863 2166077 2174825 2179721 2235164 389381 661470 1596936 1667384 474495 813760 1794090 1478315 201934 1572736 1094311
24084,387864 709938 742130 1001700 985112 1995821 1869397 485673 577751 1373575 264073 740629 1036778 1631641 1884939 1016070 881167 1738102 885251 755602 159070 948819 1033339 1125171 1627503 2110768 1255955 2109321 1189579 855848 1295125 1019835 540977 798065 1265218 333881 878697 1293911 1382971 83119 508776 682071 1921831 921770 1956573 1231769 2088513
24742,51173 368006 1781937 1245729 1983432 1479666 418161 1208535 16442 1913043 415681 71659 2254334 1048305 554197 2044666 721790 1252386 1401091 130342 1878416 1212339 1913487 93774 306589 1027260 2089832 2096774 2169048
25416,790443 869152 360572 757899 867114 892088 941767 1196882 1370261 1825773 460139 519560 742067 927390 1076709 1237729 1447022 1587465 1596121 2192042 558147 1067880 12812 1099694 1474602 1227405 1828331 61971 813039 1847725 2225397 1416605 1451082 1610983 1622407 2001332 1168453 1854342 1577492 1613422 12388 84140 93999 169683 181977 232439 284666 305286 329902 374185 424415 605987 670347 686511 814588 930472 1360551 1400136 1462076 1485594 1503965 1610714 1614447 1687437 1797025 1895909 2134084 2138119 2160345 2247877 1818437 680237 1919301 1966318 2185606 811814 812580 1104862 1676941 1826301 866186
