AuthorId,PaperIds
55,580095 1258087 507841 1087938 949475 538215 2145125 2253161 1113127 749124 1598529 1917226 337774 1963658 2139275 1389430 599636 1536069 400429 1315957 144775 869430 1705250 2239313 341916 2242701 1169763 609556 803603 151248 375494 478547 520682 1426341 1791611 360533 368324 674836 855331 1006063 1717868 847068 2149929 145200 153324 380270 933473 1208855 1634096 2235159 1200417 885156 649131 283152 285210 501918 732607 1068666 1420910 1743955 2172928 862499 1613009 652442 852486 166298 360278 427328 569149 590824 778747 787670 842748 847721 1134037 1309499 1404308 1503337 1567825 82789 462613 836602 1267968 1572902 1639193 2078331 627473 1958000 293806 640178 1263351 545233 1369596 1561133 2047193 391076 1696592 1637203 567439 849805 434255 479932 683325 824805 2144025 2189241 24074 25103 36459 40294 42966 55193 68389 69178 75169 75356 82669 109868 122970 128962 129165 138408 164850 167677 178422 179163 188583 191340 217562 222469 224005 243218 275203 282173 294906 330142 341809 348351 367455 375645 389256 393613 396571 400432 402085 413987 415449 415677 419865 424703 433440 441364 529078 530550 548812 561429 563378 569738 596639 600343 602590 605718 607208 618099 636227 645843 662811 666181 701621 707333 716659 739353 742557 761011 767668 768943 778260 782195 791391 809176 836220 836932 837051 838147 839470 844326 860343 873533 878611 878853 914441 916062 947880 951610 991821 998325 1002385 1003588 1017616 1028676 1030869 1038114 1040990 1065523 1111248 1114808 1127766 1129545 1130940 1131277 1147447 1149308 1162408 1175552 1182092 1221789 1224097 1226103 1232116 1234065 1235117 1236357 1246558 1246911 1253687 1254356 1265959 1279252 1291570 1292671 1306853 1311582 1314361 1315501 1318932 1330500 1333822 1334503 1334565 1341262 1347683 1355338 1358761 1358815 1389913 1390814 1394715 1401976 1402396 1406810 1412697 1421288 1432571 1441833 1453295 1470552 1473948 1475480 1480374 1484358 1487068 1495079 1503094 1505207 1513936 1514435 1516256 1521193 1575412 1596644 1598603 1600372 1619343 1627327 1629211 1645597 1647435 1671418 1674347 1686687 1692285 1704151 1704638 1709669 1715897 1728999 1740617 1767867 1779715 1796849 1805568 1807352 1813933 1842680 1842828 1845348 1846507 1868160 1892017 1914211 1923712 1935912 1964990 1978555 1996769 2020050 2020967 2050391 2052277 2060463 2061699 2067435 2069862 2088058 2097673 2107137 2116002 2130152 2133149 2135162 2152937 2160386 2169279 2172944 2188615 2188967 2219269 2227977 2233795 2239080 1230662 317855 185529 717808 1157610 1457884 857434 1844943 699144 805860 1598298 2001305 2170187 1124696 2223355 898876 944768 1639061 1822770 2014129 95899 108616 222631 228600 429669 434161 520007 649955 744480 812510 1166498 1309753 1328475 1493998 1905878 2188174 161497 1173588 1604996 1762246 248390 640883 800859 867779 918326 1183554 1275261 1283236 1330055 1368392 1611534 1748110 2126038 601175 440944 1618919 2043565 2069581 2086146 423069 655318 757830 801400 102768 258012 443598 452096 487867 1117699 1120846 1324071 1501821 1659666 1874507 2006004 2139295 2254072 50011 136767 209987 267444 292208 433613 464497 616823 633416 686632 690310 766130 861633 919007 1200622 1231449 1231847 1272277 1384633 1464112 1471568 1537119 1561911 1562350 1564558 1669282 1689507 1693618 1709794 1754410 1886009 1909176 1998820 2033860 2054919 2092511 2161270 2221713 2228319 299391 311565 783611 1095626 1131748 169774 491228 762178 965304 1106983 1170435 1350211 1417252 1647084 2182966 374924 1296398 312517 1058984 1690254 411010 913529 1039736 1044866 1412366 77268 85184 138526 157653 160532 264821 269210 327692 366499 418934 427091 443903 449667 468963 500411 542459 590988 617344 671895 753581 816840 1051834 1218501 1258466 1336245 1409438 1482854 1545364 1588620 1618867 1638417 1691264 1737538 1819740 1973900 1974662 1988335 2001206 2025947 2031585 2089307 2140444 2169998 2185666 2243047 15471 369796 397455 794747 810900 819589 883792 1874629 52775 327786 372836 889545 1079484 1224720 1392908 1871885 1961041 1976657 2010142 1057692 1081944 1268197 1287246 2507 20444 25304 68780 110515 139335 178497 197854 241121 250051 300323 322106 341776 372043 441057 494493 511272 515706 518886 529900 533875 558232 571156 577846 583593 589720 600193 651888 657724 685489 720336 733374 745317 787171 787757 801725 810770 823685 847749 860367 869813 939887 973193 981085 1000445 1012283 1034482 1051041 1058628 1153819 1165889 1204075 1212786 1213444 1247571 1268918 1290673 1294041 1303769 1318181 1321344 1338645 1340284 1348168 1360578 1373323 1374577 1376095 1425243 1488589 1490929 1587177 1605108 1609130 1617887 1768979 1792050 1809054 1845523 1883848 1912963 1930652 1953648 1988643 1993390 2100017 2101279 2160850 2187821 2203516 2209422 2213984 2228219 2248734 605597 1088098 1614166 2232203 824229 1299922 1665586 19294 47028 156007 178136 251879 295041 313273 362297 372994 391835 401485 417586 446774 493623 493921 566388 629576 697076 733638 747730 821861 1032043 1079496 1281589 1477509 1481605 1507925 1559958 1705023 1782482 1971149 2071330 2148216 2238930
426,92584 581263 608753 733468 1020664 1200538 1309402 1506113 1525094 1619181 2131795 703799 885676 1220376 1397733 1474160 1715768 1743931 1755057 1522781 1591324 762357 841427 2114604 37257 212235 284639 643226 1620205 1738852 1886966 873 174625 1513874 1896437 1425521
1861,528639 922192 1048827 1059590 1818633 59550 282043 124595
10212,824163 290814 792369 694244 1907454 1753895 681072 131299 711071 199989 551557 719916 1443210 509790 24013 1723109 49767 173546 1763581 195044 2017320 656535 213826 1274721 1409670 1830188 2108310 1495359 1114250 275419 1155164 2148031 414184 736670 1279152 1576383 1888199
10275,2029275 368138 300441 876311 995222 1979860 871240 358576 389312 2192149 2161376
11496,1272569 1492999 1743639 1872494 973637 248838 511060 1885728 395701 1104541 310992 1202424 220745 1762778 382531
18188,580096 1792343 552709 932834 1449121 2143863 1572736 137079 139332 157235 197565 241280 517152 710443 735641 763814 804483 837759 888761 909867 925232 986581 1107957 1161740 1221739 1370016 1545848 1625524 1678146 1835169 1908236 1932598 1940154 1957616 2045142 2166077 2174825 2179721 2235164 474495 813760 1794090 573569 913351 2085225 1094311 1667384 1596936 201934 1478315 389381 661470
24084,264073 740629 742130 885251 1001700 1738102 1869397 1995821 387864 948819 709938 881167 1033339 1016070 755602 485673 577751 1373575 1631641 985112 159070 1125171 1627503 2110768 1036778 1884939 1265218 540977 1019835 855848 1295125 2109321 1255955 1189579 83119 508776 682071 798065 333881 878697 1293911 1382971 921770 1921831 1956573 2088513 1231769
24742,51173 368006 1781937 1208535 1983432 1245729 1479666 418161 1212339 1913487 1048305 415681 16442 130342 1878416 1913043 554197 2044666 71659 93774 306589 1027260 2089832 2096774 2169048 721790 1252386 1401091 2254334
25416,460139 519560 742067 927390 1076709 1237729 1447022 1587465 1596121 2192042 360572 12812 61971 1067880 1168453 1416605 1847725 2225397 1825773 813039 1474602 757899 790443 867114 892088 941767 1196882 1227405 1370261 1828331 869152 1099694 1854342 558147 1451082 2001332 1610983 1622407 1577492 1613422 1818437 1919301 1966318 2185606 12388 84140 93999 169683 181977 232439 284666 305286 329902 374185 424415 605987 670347 686511 814588 930472 1360551 1400136 1462076 1485594 1503965 1610714 1614447 1687437 1797025 1895909 2134084 2138119 2160345 2247877 866186 1676941 1826301 1104862 811814 812580 680237
