AuthorId,PaperIds
55,1389430 507841 1087938 1536069 2145125 2253161 1113127 360533 368324 674836 855331 1006063 400429 599636 1598529 341916 2242701 144775 1200417 949475 580095 749124 1258087 847068 2149929 337774 1705250 1963658 2139275 2239313 609556 1917226 627473 1958000 68389 191340 415449 529078 605718 998325 1003588 1182092 1246558 1311582 1629211 1807352 2160386 538215 649131 869430 1315957 283152 285210 391076 501918 1068666 1420910 567439 889545 311565 652442 852486 1717868 1561133 2047193 803603 1169763 1230662 1696592 849805 434255 479932 683325 824805 2144025 2189241 82789 462613 836602 1267968 1572902 1639193 2078331 293806 360278 427328 569149 590824 640178 778747 787670 842748 847721 1134037 1263351 1309499 1404308 1503337 1567825 166298 862499 1613009 1743955 151248 375494 478547 520682 1426341 1791611 1275261 145200 153324 380270 732607 885156 933473 1208855 1634096 2172928 2235159 867779 1157610 1231449 1283236 1330055 1457884 2126038 185529 857434 1844943 299391 24074 25103 36459 40294 42966 55193 69178 75169 75356 82669 109868 122970 128962 129165 138408 164850 167677 178422 179163 188583 217562 222469 224005 243218 275203 282173 294906 330142 341809 348351 367455 375645 389256 393613 396571 400432 402085 413987 415677 419865 424703 433440 441364 530550 548812 561429 563378 569738 596639 600343 602590 607208 618099 636227 645843 662811 666181 701621 707333 716659 739353 742557 761011 767668 768943 778260 782195 791391 809176 836220 836932 837051 838147 839470 844326 860343 873533 878611 878853 914441 916062 947880 951610 991821 1002385 1017616 1028676 1030869 1038114 1040990 1065523 1111248 1114808 1127766 1129545 1130940 1131277 1147447 1149308 1162408 1175552 1221789 1224097 1226103 1232116 1234065 1235117 1236357 1246911 1253687 1254356 1265959 1279252 1291570 1292671 1306853 1314361 1315501 1318932 1330500 1333822 1334503 1334565 1341262 1347683 1355338 1358761 1358815 1389913 1390814 1394715 1401976 1402396 1406810 1412697 1421288 1432571 1441833 1453295 1470552 1473948 1475480 1480374 1484358 1487068 1495079 1503094 1505207 1513936 1514435 1516256 1521193 1575412 1596644 1598603 1600372 1619343 1627327 1645597 1647435 1671418 1674347 1686687 1692285 1704151 1704638 1709669 1715897 1728999 1740617 1767867 1779715 1796849 1805568 1813933 1842680 1842828 1845348 1846507 1868160 1892017 1914211 1923712 1935912 1964990 1978555 1996769 2020050 2020967 2050391 2052277 2060463 2061699 2067435 2069862 2088058 2097673 2107137 2116002 2130152 2133149 2135162 2152937 2169279 2172944 2188615 2188967 2219269 2227977 2233795 2239080 19294 85184 160532 251879 327692 391835 418934 427091 443903 446774 449667 468963 500411 590988 601175 617344 640883 671895 753581 816840 1032043 1051834 1218501 1258466 1272277 1545364 1564558 1691264 1754410 1782482 1909176 1971149 1974662 2001206 2033860 2054919 2089307 2185666 2187821 2221713 1124696 2223355 824229 1299922 1665586 2507 20444 25304 50011 52775 77268 95899 102768 108616 139335 157653 169774 178497 209987 222631 228600 241121 248390 250051 258012 264821 267444 269210 292208 295041 317855 341776 411010 423069 433613 434161 440944 443598 452096 487867 491228 493623 518886 520007 533875 542459 545233 558232 577846 589720 600193 605597 649955 655318 690310 697076 699144 744480 745317 757830 762178 766130 783611 800859 801400 805860 810770 812510 823685 861633 913529 944768 965304 1039736 1044866 1058628 1079484 1088098 1095626 1106983 1117699 1120846 1131748 1166498 1170435 1183554 1204075 1212786 1247571 1281589 1294041 1303769 1318181 1324071 1328475 1336245 1340284 1348168 1350211 1368392 1369596 1373323 1384633 1392908 1412366 1417252 1425243 1464112 1471568 1477509 1482854 1488589 1493998 1501821 1561911 1562350 1598298 1609130 1611534 1614166 1618867 1618919 1637203 1639061 1647084 1669282 1689507 1693618 1709794 1748110 1768979 1822770 1871885 1874507 1886009 1930652 1953648 1961041 1973900 1976657 1998820 2001305 2006004 2010142 2014129 2025947 2031585 2043565 2069581 2086146 2092511 2139295 2140444 2160850 2161270 2169998 2170187 2182966 2188174 2203516 2209422 2228319 2232203 2254072 300323 374924 583593 651888 847749 1000445 1081944 1296398 1321344 1374577 1792050 1845523 161497 898876 1173588 1604996 1762246 1809054 1912963 1993390 15471 47028 68780 110515 136767 138526 156007 178136 197854 312517 313273 322106 327786 362297 366499 369796 372043 372836 372994 397455 401485 417586 429669 441057 464497 493921 494493 511272 515706 529900 566388 571156 616823 629576 633416 657724 685489 686632 717808 720336 733374 733638 747730 787171 787757 794747 801725 810900 819589 821861 860367 869813 883792 918326 919007 939887 973193 981085 1012283 1034482 1051041 1057692 1058984 1079496 1153819 1165889 1200622 1213444 1224720 1231847 1268197 1268918 1287246 1290673 1309753 1338645 1360578 1376095 1409438 1481605 1490929 1507925 1537119 1559958 1587177 1588620 1605108 1617887 1638417 1659666 1690254 1705023 1737538 1819740 1874629 1883848 1905878 1988335 1988643 2071330 2100017 2101279 2148216 2213984 2228219 2238930 2243047 2248734
426,212235 608753 703799 762357 885676 1220376 1309402 1397733 1474160 1513874 1620205 1715768 1743931 1755057 1886966 2114604 733468 1525094 1619181 581263 1020664 1200538 1506113 2131795 92584 1591324 1522781 841427 873 174625 1896437 37257 284639 643226 1738852 1425521
1861,59550 282043 1048827 528639 922192 1059590 1818633 124595
10212,24013 131299 509790 551557 681072 792369 824163 1443210 290814 1753895 1723109 694244 711071 719916 275419 414184 1155164 1830188 2148031 1907454 49767 173546 1114250 1763581 199989 1495359 2017320 1576383 1888199 195044 2108310 656535 736670 1279152 213826 1274721 1409670
10275,2029275 300441 368138 876311 995222 1979860 358576 389312 871240 2192149 2161376
11496,1492999 1743639 1272569 1872494 248838 511060 973637 1762778 220745 310992 382531 395701 1885728 1202424 1104541
18188,1596936 389381 661470 1449121 2143863 552709 932834 580096 1792343 137079 139332 157235 197565 241280 517152 710443 735641 763814 804483 837759 888761 909867 925232 986581 1107957 1161740 1221739 1370016 1545848 1625524 1678146 1835169 1908236 1932598 1940154 1957616 2045142 2166077 2174825 2179721 2235164 573569 913351 2085225 1094311 201934 1478315 1667384 474495 813760 1794090 1572736
24084,264073 540977 740629 798065 855848 1019835 1255955 1295125 1738102 2109321 1265218 83119 508776 742130 755602 948819 985112 1001700 1016070 1189579 1231769 1869397 1995821 1033339 921770 1921831 1956573 2088513 333881 878697 1293911 1382971 387864 2110768 485673 1373575 709938 577751 881167 159070 1125171 1036778 1631641 1884939 885251 1627503 682071
24742,93774 1027260 1048305 1781937 1913487 2044666 51173 368006 1983432 418161 1208535 1245729 1479666 16442 1212339 1913043 130342 1878416 415681 71659 554197 721790 1252386 1401091 2254334 306589 2089832 2096774 2169048
25416,360572 558147 811814 812580 790443 813039 1099694 1474602 1825773 1416605 1451082 1847725 2001332 2225397 869152 1577492 1613422 12812 1168453 1227405 1828331 1818437 1919301 1966318 2185606 1854342 61971 757899 867114 892088 941767 1196882 1370261 1067880 1610983 1622407 866186 460139 519560 742067 927390 1076709 1237729 1447022 1587465 1596121 2192042 12388 93999 169683 181977 232439 284666 305286 329902 374185 605987 670347 814588 930472 1360551 1400136 1462076 1485594 1610714 1614447 1687437 1797025 1895909 2134084 2138119 2160345 2247877 680237 84140 424415 686511 1503965 1104862 1676941 1826301
28219,5770 83820 109827 586226 602134 623567 631751 680300 1025108 1220941 1325050 1399749 1422005 1456144 1652378 1680681 1835483 1890179 1955611 167565 330872 627675 774485 1144676 1588027 1791923 1931375 780897 2060242 333598 1084963 383133 1464976 128718 447407 487655 1581445 1731420 5120 82050 303593 335385 897275 1116196 1150031 1902112 2184495 1637736 1706816 68017 1078812 401615 647888 1696145 1703055 1481346 186104 654955 660242 665753 1852837 1594284 1862163 2247914
29128,1174507 110647 601667 2095139 2196786 657946 315629 618851 1137717 2178958 1769412 703337 1860108 642811 921604 1235232 1635071 1668715 804653 223276 1380889 1927641 648074
34494,846983 560590 1063907 803164 91967 1206531 1076624 259341 712201 968173 1524512 462095 1006766 472573 1096538 707534 1784487 629989 353064 159091 728621 804003 809480 997090 1014168 2047860 1397825 1750762 1910875 549068 1719679 1116725 1356744 1320542 1536613
34496,2169307 1359075 1638932 1363327 2253773 266856 888479 2130364 62917 1429443 858967 632352 161413
36062,52206 82450 88304 96930 100084 100193 239616 253150 274016 318438 384055 400327 448872 461765 471502 581437 704914 710159 870955 914058 921400 924384 1037188 1051950 1070290 1096144 1098015 1148170 1150479 1152288 1205019 1225907 1314077 1346661 1411362 1475139 1481448 1488418 1579310 1644154 1658764 1765448 1791107 1809858 1884507 1894316 1895472 1895803 1938337 1958799 1975276 2084437 2129732 2166942 2251014 2257551 292891 1007492 1053515 1168546 1374008 1520105 910628 12362 111433 280324 646637 822364 869744 972530 1135619 1227183 1257199 1755021 2030363 2120779 2254989 105792 946260 231435 605243 611971 916143 1393734 1528118 1627429 1760287 1229421 1488609 57030 183182 319858 394413 630759 667744 709071 838367 939209 957237 993804 1033927 1065957 1178094 1291513 1293320 1296714 1425834 1465493 1501169 1566501 1696591 1765108 1805494 1985804 1994278 2009413 2143817 2169470 2218065 2258994 169846 691018 741657 830033 838672 881018 899789 1107923 1260867 1537633 1561450 1561467 1770228 1975664 2011689 2179156 2243971 2257205 100646 1302514
39768,28045 93488 156198 312197 367476 405042 423743 429315 523900 589984 758183 766030 783061 825836 871837 872311 918619 947393 958934 1102370 1123455 1219316 1229328 1240968 1367227 1406329 1428199 1559005 1595095 1751703 1845192 1975573 2126402 2139326 2175268 2182654 2236084 818472 5505 8641 115843 154803 162121 200508 206613 216047 432897 539687 547614 551615 556341 885347 1382763 1399457 1430807 1494469 1502430 1527646 1592066 1730752 1771946 1942840 2112139 2126514 2185775 1036289 2059764 553353 68023 511397 1156204 1802369 1859302 1937541 1069237 1124811 1347552 1396244 1884083 217454 1489965 1972254 2208909 648483 1195190 223129 322704 1157824 1902374 494957 370220 922526 452266 618452 711258 879373 1114602 1466535 1498743 2106793 2232604 155087 385658 710951 730365 928356 1061105 1235441 1245793 1289447 1628319 1754413 2050669 100673 331742 1133985 1285995 1466741 1762264 1974886 1984723
39798,18672 519981 1075626 1906933 2087449 2246046 1372592 1785282 2153956 666223 376339 1885187 2139329 1472026 1892653 2056173 1581995 544441 594947 729457 854512 1122961 1288620 1380258 1788489 1929774 1994858 2196869 510673 115064 530891 1054247 2104288 1503521 374468 1610722 729571 2052980
40047,188576 324681 709733 945776 1045548 1099951 1133541 1141560 1152800 1738143 1815196 1914286 2039247 2101374 2171272 847322 848122 1012865 1116160 1289425 1530502 2115497 2230154 238939 258552 788435 1337919 42018 627854 355196
41009,1029758 863425 114875 376081 428606 1225680 1375484 656419 1592115 1934756 56140 199656 246701 915032 926841 1531457 2034501 2124527 2228833 2234486 330114 336248 637278 643702 644357 1308254 1573546 1994425 2038704 2097253 1819448 84587 827041 1138474 1258284 1474631 1492021 1698249 2080354 261035 1503866 1862142 1956351 2058482 1839925 2026989 1398925 2181493 129720 253685 253685 1176104 1357171
42126,347427 1220955 386358 776187 1933559 660979 791236 1173255 785820
43172,1521830 1296109 1266800 1155926 1508621 2177399 127095 356658 406620 433659 814654 1217745 1247158 1849015 1876696 1930617 537652 566072
45187,1409696 2202633 1831888 1130150 2041981 443914 1725516 1725516
45333,745629 727364 1679112 940748 1378776 1232699 2138460 807868 1813947 1400665 1878978 200484
46066,85243 416649 586968 676015 903284 946806 1082619 1157255 1282427 1283775 1846156 1863185 1897513 2095007 45403 191453 407548 617071 634692 721900 1197910 1365765 1434510 2094390 2110965 2041368 976074 1782570 1872215 183262 1224625 1984071 12403 202418 464803 2054486 399845 741938 1674171 1723942 364532 737082 1966185 2158522 395019 720189 1902541 812130 1292754 1538056 1966819 394747 1515709 2109319 29428 159023 804918 897475 1551780 1589028 1949698
