AuthorId,PaperIds
55,1003588 1246558 1311582 1807352 415449 2160386 68389 191340 1182092 529078 1629211 360533 368324 674836 855331 1006063 627473 605718 283152 2242701 341916 391076 649131 847068 889545 2149929 609556 285210 1420910 311565 1958000 567439 1068666 1200417 998325 501918 1263351 151248 375494 293806 520682 1426341 507841 803603 1598529 478547 1791611 640178 949475 1113127 590824 933473 360278 778747 842748 1503337 538215 2145125 2253161 885156 569149 427328 787670 1567825 732607 1309499 652442 852486 849805 1561133 2047193 1743955 1404308 144775 1087938 145200 1389430 153324 434255 1634096 1717868 847721 1134037 2172928 824805 862499 1613009 1169763 166298 599636 1267968 1572902 380270 479932 1208855 2235159 82789 2078331 462613 836602 1639193 224005 337774 1065523 1130940 1390814 1575412 2061699 2139275 683325 2189241 749124 400429 1258087 1230662 122970 1226103 1232116 1963658 75169 402085 767668 878853 1131277 1254356 1598603 1692285 2088058 2233795 24074 40294 42966 55193 75356 82669 109868 128962 217562 243218 275203 282173 341809 367455 389256 393613 400432 415677 433440 548812 602590 666181 701621 707333 739353 742557 761011 768943 782195 791391 809176 836220 836932 844326 869430 873533 914441 916062 951610 1017616 1028676 1030869 1038114 1127766 1149308 1175552 1221789 1246911 1253687 1265959 1279252 1292671 1330500 1333822 1334503 1334565 1341262 1347683 1358761 1358815 1389913 1401976 1402396 1406810 1412697 1432571 1453295 1475480 1480374 1487068 1503094 1505207 1513936 1514435 1521193 1600372 1645597 1671418 1686687 1704638 1728999 1767867 1805568 1842828 1845348 1868160 1914211 1923712 1996769 2020050 2020967 2052277 2097673 2116002 2130152 2133149 2135162 2169279 2172944 2188615 2227977 2239080 1844943 607208 645843 837051 1846507 1964990 2219269 618099 878611 947880 179163 348351 1291570 1394715 1779715 2144025 167677 222469 1111248 1306853 1516256 2069862 2188967 530550 857434 2239313 1536069 1917226 569738 869813 138408 164850 716659 778260 838147 1147447 1162408 1842680 2060463 580095 419865 1040990 1314361 1421288 1470552 1674347 1704151 397455 1299922 1114808 413987 424703 372836 2232203 69178 396571 600343 1236357 1647435 185529 375645 1473948 1596644 1705250 1715897 317855 529900 372994 327786 1224720 2160850 2203516 322106 20444 819589 1032043 1318181 1665586 178422 330142 561429 1318932 1495079 1935912 197854 1044866 1051041 1709669 299391 433613 744480 762178 2182966 25103 36459 129165 188583 441364 596639 662811 839470 860343 991821 1002385 1129545 1224097 1234065 1235117 1355338 1441833 1484358 1619343 1740617 1796849 1813933 1978555 2050391 2107137 2152937 15471 47028 1079484 1690254 294906 1464112 441057 1281589 965304 1417252 1792050 160532 590988 787757 1012283 1537119 1691264 1696592 2033860 2238930 690310 810770 973193 1290673 1360578 2228219 2043565 1131748 248390 313273 327692 418934 449667 464497 468963 685489 810900 1058628 1183554 1204075 1258466 1275261 1368392 1425243 1501821 1659666 1874629 2139295 2185666 52775 745317 1373323 1493998 1871885 1961041 1976657 2010142 1315501 1627327 169774 411010 491228 1039736 1106983 1170435 1350211 1412366 1545364 1618919 2086146 511272 1268918 1562350 139335 369796 883792 1153819 1268197 1287246 640883 616823 657724 671895 2069581 440944 913529 1088098 157653 95899 577846 600193 812510 816840 867779 1117699 1120846 1166498 1231847 1247571 1272277 1296398 1340284 1609130 1611534 1883848 1953648 2006004 2031585 2071330 2188174 2223355 629576 1604996 589720 1488589 1689507 1974662 2092511 563378 636227 1892017 2067435 295041 649955 697076 1165889 1212786 1477509 1587177 1930652 823685 292208 391835 423069 518886 617344 824229 944768 1369596 1376095 1639061 1647084 1909176 1998820 2001305 2014129 2100017 2169998 1095626 50011 136767 138526 633416 686632 720336 753581 847749 1058984 1392908 1988643 2213984 267444 919007 1218501 1384633 2228319 1034482 1321344 102768 108616 209987 258012 269210 300323 312517 427091 443598 443903 452096 487867 542459 566388 583593 757830 794747 800859 801725 805860 860367 898876 1124696 1173588 1294041 1315957 1324071 1336245 1471568 1564558 1617887 1705023 1782482 1822770 1845523 1874507 2001206 2025947 2101279 2140444 2248734 2254072 1709794 2161270 493921 156007 500411 1973900 228600 1051834 1768979 2089307 222631 362297 520007 783611 1988335 1157610 1457884 733638 1328475 1348168 1559958 1614166 110515 250051 264821 372043 494493 787171 1079496 1213444 1490929 1605108 558232 651888 1637203 1231449 1000445 1057692 161497 374924 446774 515706 605597 821861 918326 939887 1303769 1374577 1598298 1693618 1737538 1762246 1886009 1905878 341776 77268 601175 699144 2187821 401485 1200622 1754410 2054919 2170187 545233 1338645 1618867 1748110 1912963 1971149 25304 366499 429669 2209422 2243047 19294 68780 1081944 1819740 241121 251879 417586 533875 733374 766130 861633 1309753 1561911 1588620 2507 493623 747730 1638417 1809054 1993390 85184 178136 655318 801400 2148216 434161 1330055 2126038 2221713 1481605 1669282 178497 571156 717808 981085 1283236 1409438 1482854 1507925
426,1591324 762357 1513874 1755057 1886966 2114604 212235 1620205 841427 1619181 92584 733468 1525094 873 174625 885676 1474160 1309402 1896437 703799 1397733 1220376 1715768 1743931 37257 284639 581263 643226 1020664 1200538 1738852 2131795 1522781 1506113 608753 1425521
1861,59550 282043 528639 922192 1059590 1818633 1048827 124595
10212,1723109 2017320 173546 49767 1763581 414184 1155164 1495359 1576383 1888199 1830188 275419 2148031 1114250 694244 2108310 711071 736670 1279152 681072 719916 195044 656535 1907454 1274721 1409670 290814 1753895 1443210 199989 213826 792369 824163 551557 509790 24013 131299
10275,300441 876311 368138 2029275 389312 995222 1979860 871240 2161376 358576 2192149
11496,220745 382531 395701 310992 1762778 248838 511060 1272569 973637 1492999 1872494 1202424 1743639 1104541 1885728
18188,389381 661470 1596936 1792343 580096 517152 804483 1625524 157235 197565 837759 1221739 1545848 1678146 1908236 1940154 2235164 1667384 1957616 1107957 1794090 1932598 139332 763814 986581 1835169 2179721 1572736 1478315 137079 710443 888761 909867 925232 1161740 1370016 2174825 474495 201934 241280 735641 2045142 2166077 552709 913351 1094311 573569 813760 2085225 2143863 1449121 932834
24084,83119 540977 798065 855848 921770 1019835 1189579 1231769 1255955 1265218 1295125 1921831 1956573 2109321 508776 878697 1293911 2088513 1382971 333881 985112 1016070 755602 709938 1738102 881167 1001700 159070 1995821 742130 264073 740629 1869397 1036778 1631641 2110768 1125171 485673 577751 1373575 1884939 948819 1627503 885251 387864 682071 1033339
24742,93774 1027260 2044666 1913487 1048305 130342 1479666 16442 1781937 71659 418161 368006 2089832 51173 2169048 1983432 306589 1208535 1245729 415681 1212339 1878416 554197 1913043 2096774 1252386 721790 1401091 2254334
25416,812580 930472 1400136 1614447 2160345 1818437 12388 93999 169683 181977 284666 1485594 1797025 1895909 2134084 2138119 305286 1610714 232439 374185 605987 1360551 329902 811814 814588 1462076 1687437 670347 2247877 1919301 1966318 2185606 866186 1099694 1610983 1622407 1577492 1854342 790443 867114 1474602 2192042 12812 460139 757899 869152 941767 1076709 1168453 1447022 1587465 1828331 1416605 1503965 1451082 813039 686511 84140 1370261 1613422 61971 742067 1196882 1596121 1847725 2225397 892088 1227405 2001332 927390 1237729 519560 558147 424415 1826301 1676941 1067880 360572 1825773 680237 1104862
28219,774485 1456144 1835483 1890179 1588027 602134 627675 586226 631751 1144676 1791923 1931375 167565 1706816 780897 2060242 303593 1116196 1680681 897275 447407 1652378 1464976 2184495 82050 383133 487655 1150031 1581445 1902112 1325050 68017 1852837 5120 654955 1422005 401615 109827 1637736 335385 128718 186104 660242 1731420 5770 665753 1594284 1084963 1481346 83820 623567 1025108 1078812 1220941 1955611 647888 2247914 680300 330872 333598 1399749 1696145 1862163 1703055
29128,1137717 2196786 618851 2178958 315629 703337 1860108 642811 921604 648074 1235232 1927641 657946 1380889 110647 2095139 223276 1174507 1769412 601667 804653 1635071 1668715
34494,968173 1076624 803164 259341 629989 1784487 728621 549068 707534 712201 1063907 560590 1719679 809480 353064 91967 804003 1524512 159091 472573 997090 1206531 846983 1014168 2047860 1536613 1910875 1750762 1397825 1116725 1356744 1006766 1096538 462095 1320542
34496,1429443 2130364 266856 888479 62917 1359075 2169307 1363327 2253773 632352 1638932 858967 161413
36062,12362 111433 231435 280324 318438 384055 605243 611971 646637 822364 869744 870955 916143 946260 1007492 1148170 1168546 1225907 1227183 1257199 1374008 1393734 1481448 1528118 1579310 1627429 1644154 1760287 2030363 2120779 2254989 292891 972530 704914 581437 1037188 1895803 100084 105792 274016 1096144 1135619 1150479 1314077 1755021 1809858 1411362 1894316 1975276 921400 1895472 88304 1488418 899789 461765 96930 1051950 1765448 1770228 2257551 910628 1070290 1958799 2084437 838672 100193 169846 691018 741657 830033 1107923 1260867 1537633 1561450 1561467 2011689 2179156 2243971 2257205 881018 1975664 2251014 1302514 239616 448872 1346661 1938337 1658764 1098015 1205019 1520105 2166942 1475139 1152288 82450 471502 924384 1053515 319858 667744 1465493 52206 253150 400327 710159 1884507 1501169 1994278 914058 957237 1791107 2129732 1229421 1033927 1291513 1985804 100646 57030 183182 939209 1425834 2169470 2218065 394413 1178094 1296714 1488609 1566501 1765108 1805494 2143817 630759 709071 1293320 2009413 2258994 993804 1696591 838367 1065957
